Id,Time[ns],I²S
358,17346720.00000000000000000000,Left channel: 00fb7110
359,17367200.00000000000000000000,Right channel: 00ffffff
360,17387680.00000000000000000000,Left channel: 00fcd47e
361,17408160.00000000000000000000,Right channel: 00ffffff
362,17428640.00000000000000000000,Left channel: 00fd122d
363,17449140.00000000000000000000,Right channel: 00ffffff
364,17469620.00000000000000000000,Left channel: 0000e25a
365,17490100.00000000000000000000,Right channel: 00ffffff
366,17510580.00000000000000000000,Left channel: 00fe8b1a
367,17531060.00000000000000000000,Right channel: 00ffffff
368,17551540.00000000000000000000,Left channel: 00fb9f38
369,17572040.00000000000000000000,Right channel: 00ffffff
370,17592520.00000000000000000000,Left channel: 00fc78e3
371,17613000.00000000000000000000,Right channel: 00ffffff
372,17633480.00000000000000000000,Left channel: 00ff30d9
373,17653960.00000000000000000000,Right channel: 00ffffff
374,17674440.00000000000000000000,Left channel: 0003e828
375,17694940.00000000000000000000,Right channel: 00ffffff
376,17715420.00000000000000000000,Left channel: 0000f45a
377,17735900.00000000000000000000,Right channel: 00ffffff
378,17756380.00000000000000000000,Left channel: 00fe8ce2
379,17776860.00000000000000000000,Right channel: 00ffffff
380,17797340.00000000000000000000,Left channel: 00feb53d
381,17817820.00000000000000000000,Right channel: 00ffffff
382,17838300.00000000000000000000,Left channel: 00ffa6da
383,17858800.00000000000000000000,Right channel: 00ffffff
384,17879280.00000000000000000000,Left channel: 00009689
385,17899760.00000000000000000000,Right channel: 00ffffff
386,17920240.00000000000000000000,Left channel: 0003ffbf
387,17940720.00000000000000000000,Right channel: 00ffffff
388,17961200.00000000000000000000,Left channel: 00024c88
389,17981700.00000000000000000000,Right channel: 00ffffff
390,18002180.00000000000000000000,Left channel: 00023470
391,18022660.00000000000000000000,Right channel: 00ffffff
392,18043140.00000000000000000000,Left channel: 00fed1d0
393,18063620.00000000000000000000,Right channel: 00ffffff
394,18084100.00000000000000000000,Left channel: 00ff9689
395,18104580.00000000000000000000,Right channel: 00ffffff
396,18125080.00000000000000000000,Left channel: 00000041
397,18145560.00000000000000000000,Right channel: 00ffffff
398,18166040.00000000000000000000,Left channel: 00ff46d7
399,18186520.00000000000000000000,Right channel: 00ffffff
400,18207000.00000000000000000000,Left channel: 000178fb
401,18227480.00000000000000000000,Right channel: 00ffffff
402,18247960.00000000000000000000,Left channel: 00fd9596
403,18268460.00000000000000000000,Right channel: 00ffffff
404,18288940.00000000000000000000,Left channel: 00fffae5
405,18309420.00000000000000000000,Right channel: 00ffffff
406,18329900.00000000000000000000,Left channel: 0001c540
407,18350380.00000000000000000000,Right channel: 00ffffff
408,18370860.00000000000000000000,Left channel: 00fe74e6
409,18391360.00000000000000000000,Right channel: 00ffffff
410,18411840.00000000000000000000,Left channel: 0000c8a9
411,18432320.00000000000000000000,Right channel: 00ffffff
412,18452800.00000000000000000000,Left channel: 000073ca
413,18473280.00000000000000000000,Right channel: 00ffffff
414,18493760.00000000000000000000,Left channel: 00fe55a8
415,18514240.00000000000000000000,Right channel: 00ffffff
416,18534740.00000000000000000000,Left channel: 00ffc148
417,18555220.00000000000000000000,Right channel: 00ffffff
418,18575700.00000000000000000000,Left channel: 00018e2c
419,18596180.00000000000000000000,Right channel: 00ffffff
420,18616660.00000000000000000000,Left channel: 00048e7e
421,18637140.00000000000000000000,Right channel: 00ffffff
422,18657640.00000000000000000000,Left channel: 00030613
423,18678120.00000000000000000000,Right channel: 00ffffff
424,18698600.00000000000000000000,Left channel: 00023d15
425,18719080.00000000000000000000,Right channel: 00ffffff
426,18739560.00000000000000000000,Left channel: 00037dfd
427,18760040.00000000000000000000,Right channel: 00ffffff
428,18780520.00000000000000000000,Left channel: 00025bab
429,18801020.00000000000000000000,Right channel: 00ffffff
430,18821500.00000000000000000000,Left channel: 00026b1c
431,18841980.00000000000000000000,Right channel: 00ffffff
432,18862460.00000000000000000000,Left channel: 00043783
433,18882940.00000000000000000000,Right channel: 00ffffff
434,18903420.00000000000000000000,Left channel: 00041d81
435,18923920.00000000000000000000,Right channel: 00ffffff
436,18944400.00000000000000000000,Left channel: 00005e2a
437,18964880.00000000000000000000,Right channel: 00ffffff
438,18985360.00000000000000000000,Left channel: 00ff3f06
439,19005840.00000000000000000000,Right channel: 00ffffff
440,19026320.00000000000000000000,Left channel: 0001230b
441,19046800.00000000000000000000,Right channel: 00ffffff
442,19067300.00000000000000000000,Left channel: 00feda0a
443,19087780.00000000000000000000,Right channel: 00ffffff
