Id,Time[ns],I²S
389,17981700.00000000000000000000,Right channel: 00000000
390,18002180.00000000000000000000,Left channel: 0000ac1b
391,18022660.00000000000000000000,Right channel: 00000000
392,18043140.00000000000000000000,Left channel: 00002268
393,18063620.00000000000000000000,Right channel: 00000000
394,18084100.00000000000000000000,Left channel: 000004d4
395,18104580.00000000000000000000,Right channel: 00000000
396,18125080.00000000000000000000,Left channel: 00002df0
397,18145560.00000000000000000000,Right channel: 00000000
398,18166040.00000000000000000000,Left channel: 000007fd
399,18186520.00000000000000000000,Right channel: 00000000
400,18207000.00000000000000000000,Left channel: 0000a63a
401,18227480.00000000000000000000,Right channel: 00000000
402,18247960.00000000000000000000,Left channel: 00002cbb
403,18268460.00000000000000000000,Right channel: 00000000
404,18288940.00000000000000000000,Left channel: 0000d9c3
405,18309420.00000000000000000000,Right channel: 00000000
406,18329900.00000000000000000000,Left channel: 00009701
407,18350380.00000000000000000000,Right channel: 00000000
408,18370860.00000000000000000000,Left channel: 0000c451
409,18391360.00000000000000000000,Right channel: 00000000
410,18411840.00000000000000000000,Left channel: 0000d576
411,18432320.00000000000000000000,Right channel: 00000000
412,18452800.00000000000000000000,Left channel: 0000671e
413,18473280.00000000000000000000,Right channel: 00000000
414,18493760.00000000000000000000,Left channel: 0000f586
415,18514240.00000000000000000000,Right channel: 00000000
416,18534740.00000000000000000000,Left channel: 000034ec
417,18555220.00000000000000000000,Right channel: 00000000
418,18575700.00000000000000000000,Left channel: 0000845f
419,18596180.00000000000000000000,Right channel: 00000000
420,18616660.00000000000000000000,Left channel: 00009c0d
421,18637140.00000000000000000000,Right channel: 00000000
422,18657640.00000000000000000000,Left channel: 00003c5c
423,18678120.00000000000000000000,Right channel: 00000000
424,18698600.00000000000000000000,Left channel: 0000f096
425,18719080.00000000000000000000,Right channel: 00000000
426,18739560.00000000000000000000,Left channel: 00002ee9
427,18760040.00000000000000000000,Right channel: 00000000
428,18780520.00000000000000000000,Left channel: 0000dc4a
429,18801020.00000000000000000000,Right channel: 00000000
430,18821500.00000000000000000000,Left channel: 000092d0
431,18841980.00000000000000000000,Right channel: 00000000
432,18862460.00000000000000000000,Left channel: 000096a2
433,18882940.00000000000000000000,Right channel: 00000000
434,18903420.00000000000000000000,Left channel: 00006e42
435,18923920.00000000000000000000,Right channel: 00000000
436,18944400.00000000000000000000,Left channel: 0000e5d4
437,18964880.00000000000000000000,Right channel: 00000000
438,18985360.00000000000000000000,Left channel: 0000da5d
439,19005840.00000000000000000000,Right channel: 00000000
440,19026320.00000000000000000000,Left channel: 00003efa
441,19046800.00000000000000000000,Right channel: 00000000
442,19067300.00000000000000000000,Left channel: 0000afe5
443,19087780.00000000000000000000,Right channel: 00000000
444,19108260.00000000000000000000,Left channel: 0000f4e1
445,19128740.00000000000000000000,Right channel: 00000000
446,19149220.00000000000000000000,Left channel: 0000f3ba
447,19169700.00000000000000000000,Right channel: 00000000
448,19190180.00000000000000000000,Left channel: 000049f5
449,19210680.00000000000000000000,Right channel: 00000000
450,19231160.00000000000000000000,Left channel: 0000a6f5
451,19251640.00000000000000000000,Right channel: 00000000
452,19272120.00000000000000000000,Left channel: 00003609
453,19292600.00000000000000000000,Right channel: 00000000
454,19313080.00000000000000000000,Left channel: 0000b2f3
455,19333580.00000000000000000000,Right channel: 00000000
456,19354060.00000000000000000000,Left channel: 0000b096
457,19374540.00000000000000000000,Right channel: 00000000
458,19395020.00000000000000000000,Left channel: 00005db1
459,19415500.00000000000000000000,Right channel: 00000000
460,19435980.00000000000000000000,Left channel: 00002451
461,19456460.00000000000000000000,Right channel: 00000000
462,19476960.00000000000000000000,Left channel: 00007662
